year,tract_geoid,census_full_code,degree_sum,betweenness_sum,closeness_sum,eigen_or_katz_sum,pagerank_sum,degree_mean,betweenness_mean,closeness_mean,eigen_or_katz_mean,pagerank_mean,degree,betweenness,closeness,eigen_or_katz,pagerank,B25070_001E,B25070_001M,B25070_002E,B25070_002M,B25070_003E,B25070_003M,B25070_004E,B25070_004M,B25070_005E,B25070_005M,B25070_006E,B25070_006M,B25070_007E,B25070_007M,B25070_008E,B25070_008M,B25070_009E,B25070_009M,B25070_010E,B25070_010M,B25070_011E,B25070_011M,B01003_001E,B01003_001M,B19013_001E,B19013_001M,B25001_001E,B25001_001M
2016,18097310203,1400000US18097310203,0.006591595715462785,0.19151347142283698,0.0014764560845326909,0.0,0.003295644043237438,0.0005492996429552321,0.01595945595190308,0.0001230380070443909,0.0,0.0002746370036031198,0.0005492996429552321,0.02200699602512291,0.00013260235786760345,0.0,0.00027463850706507565,947,166,18,28,59,70,156,125,124,110,78,70,58,46,67,76,140,89,209,86,38,62,5642,482,42009,6778,2470,81
2016,18097310204,1400000US18097310204,0.006591595715462785,0.13503332015416608,0.0016083646103363688,0.0,0.0032956620847809075,0.0005492996429552321,0.01125277667951384,0.0001340303841946974,0.0,0.00027463850706507565,0.0005492996429552321,0.014390971566198152,0.00014121262225183325,0.0,0.00027463850706507565,735,124,38,40,25,39,29,29,74,60,71,43,129,83,33,52,158,87,129,70,49,58,5886,532,57152,4314,1904,57
2016,18097310305,1400000US18097310305,0.007140895358418017,0.09220786766103986,0.0015747782244472759,0.0,0.0032623835599541544,0.0006491723053107288,0.008382533423730897,0.00014316165676793417,0.0,0.00029658032363219587,0.0010985992859104642,0.017875628902819234,0.00014598466870849238,0.0,0.0003950381732846151,1589,177,15,25,28,32,235,97,172,96,255,112,206,117,44,40,132,96,396,165,106,71,7013,722,34070,6448,2696,86
2016,18097310306,1400000US18097310306,0.023619884647074978,0.3619216131300724,0.005802727290729803,0.0,0.011442041606093072,0.0005760947474896336,0.008827356417806643,0.0001415299339202391,0.0,0.00027907418551446515,0.0010985992859104642,0.050288080499560864,0.0001573980369689345,0.0,0.0005125662184433133,1586,164,51,48,125,78,137,77,96,69,223,120,163,105,22,27,339,157,387,176,43,49,7484,903,29215,2621,2459,73
2016,18097310308,1400000US18097310308,0.0021971985718209283,0.09168535392100347,0.0005401172449360067,0.0,0.001098428398076777,0.0005492996429552321,0.022921338480250866,0.00013502931123400168,0.0,0.00027460709951919427,0.0005492996429552321,0.023476221663532842,0.00013652913310309428,0.0,0.0002746372577762869,421,99,27,36,28,46,81,59,35,43,23,36,24,39,70,64,53,42,80,69,0,11,3779,480,54762,9340,1269,39
2016,18097310309,1400000US18097310309,0.0021971985718209283,0.04331989762503358,0.00046322424487097477,0.0,0.0010985540282603026,0.0005492996429552321,0.010829974406258394,0.00011580606121774369,0.0,0.00027463850706507565,0.0005492996429552321,0.01092691296618789,0.0001160074440702403,0.0,0.00027463850706507565,1230,112,9,14,117,82,176,70,141,71,220,114,115,73,84,70,131,84,207,80,30,38,3931,467,35387,3095,1687,69
2016,18097310312,1400000US18097310312,0.006591595715462785,0.21630937038792022,0.0015419448938226348,0.0,0.0032781253162071475,0.0005492996429552321,0.018025780865660018,0.0001284954078185529,0.0,0.000273177109683929,0.0005492996429552321,0.025770754924833474,0.0001431440824205321,0.0,0.00027463850706507565,1595,250,144,90,61,47,190,128,299,157,71,70,235,175,123,147,70,59,385,146,17,29,5547,540,41250,3387,2935,95
2016,18097320105,1400000US18097320105,0.0019225487503433123,0.026772774053740823,0.00025947811457940667,0.0,0.0008839727337195476,0.0009612743751716561,0.013386387026870412,0.00012973905728970334,0.0,0.0004419863668597738,0.0010985992859104642,0.015428604628000398,0.00013066655827398866,0.0,0.0005225204637017632,960,143,19,32,126,71,120,79,177,101,103,59,129,99,64,61,105,66,76,44,41,42,4578,457,53469,6599,2187,52
2016,18097320106,1400000US18097320106,0.0005492996429552321,0.009150969876045405,0.00012970635590501138,0.0,0.00022659117225514992,0.0005492996429552321,0.009150969876045405,0.00012970635590501138,0.0,0.00022659117225514992,0.0005492996429552321,0.009150969876045405,0.00012970635590501138,0.0,0.00022659117225514992,374,85,0,11,21,21,9,15,39,42,96,62,42,45,17,26,60,49,46,43,44,36,2515,356,67125,20610,1122,48
2016,18097320107,1400000US18097320107,0.0010985992859104642,0.020814683805620363,0.00026685610010536106,0.0,0.00045164677956841963,0.0005492996429552321,0.010407341902810181,0.00013342805005268053,0.0,0.00022582338978420981,0.0005492996429552321,0.010592579625812254,0.0001339913480644206,0.0,0.00023709030603522483,138,54,27,24,12,10,32,25,23,27,7,12,5,8,5,7,27,34,0,11,0,11,1766,141,87031,14640,857,27
2016,18097320108,1400000US18097320108,0.015655039824224115,0.26868094141508037,0.0035807344733085307,0.0,0.007321853839409628,0.0005798162897860783,0.00995114597833631,0.00013261979530772335,0.0,0.00027117977182998624,0.0008239494644328481,0.03901906250848849,0.0001460158256686662,0.0,0.00041951814910883104,1930,210,13,20,205,111,166,105,343,152,135,100,144,100,116,75,296,182,512,188,0,11,4899,612,27624,7560,2714,84
2016,18097320109,1400000US18097320109,0.0016478989288656962,0.08792717856161966,0.00042702476883457405,0.0,0.0007181453422921978,0.0005492996429552321,0.029309059520539887,0.00014234158961152468,0.0,0.00023938178076406594,0.0005492996429552321,0.039405986762482234,0.00014889265137898444,0.0,0.00024592247255573866,250,56,8,12,26,26,14,18,31,37,41,38,22,21,24,40,0,11,16,17,68,63,2651,171,51211,12106,1234,42
2016,18097320202,1400000US18097320202,0.015380390002746498,0.8620150997039214,0.004269024775352932,0.0,0.006879923306992852,0.0005696440741757963,0.03192648517421931,0.00015811202871677526,0.0,0.00025481197433306857,0.0008239494644328481,0.05872247088259173,0.0001769424108000418,0.0,0.00037021991933059676,596,139,41,49,57,47,98,46,64,66,65,43,6,10,8,12,69,59,69,34,119,83,4030,317,80913,10714,2156,51
2016,18097320205,1400000US18097320205,0.006316945893985169,0.11434471872538338,0.0011426949220913623,0.0,0.002696312541555819,0.0009024208419978813,0.01633495981791191,0.00016324213172733747,0.0,0.0003851875059365456,0.0013732491073880802,0.06791931633321362,0.0001730523456746652,0.0,0.0005387603525120392,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,18097320206,1400000US18097320206,0.004669046965119473,0.09599750702469736,0.00113659833127753,0.0,0.002445082477326436,0.0005836308706399341,0.01199968837808717,0.00014207479140969126,0.0,0.0003056353096658045,0.0008239494644328481,0.014939290316933822,0.00015004907105859268,0.0,0.00037202060976763626,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,18097320301,1400000US18097320301,0.0010985992859104642,0.06393644120230223,0.0003284862615897142,0.0,0.0004960006987664792,0.0005492996429552321,0.031968220601151114,0.0001642431307948571,0.0,0.0002480003493832396,0.0005492996429552321,0.05901998303810992,0.00017853796574229184,0.0,0.00026758889946039877,520,79,5,8,140,78,98,52,60,41,29,26,37,43,8,13,7,11,76,45,60,58,3567,192,71447,12167,1953,76
2016,18097320305,1400000US18097320305,0.007140895358418017,0.046148715333005366,0.0020481817719885382,0.0,0.0032368528155042103,0.0005492996429552321,0.003549901179461951,0.00015755244399911833,0.0,0.0002489886781157085,0.0005492996429552321,0.018489818338760938,0.0001650206223453606,0.0,0.00027430562414083404,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,18097320306,1400000US18097320306,0.007690195001373249,0.10336438485985314,0.002158243436405548,0.0,0.003543566002050454,0.0005492996429552321,0.007383170347132367,0.00015416024545753917,0.0,0.00025311185728931813,0.0005492996429552321,0.02027504217836544,0.00016825176281273934,0.0,0.00027338797468639316,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,18097320400,1400000US18097320400,0.0032957978577313925,0.019555142742453922,0.0009772792989408698,0.0,0.0016222084664312536,0.0005492996429552321,0.0032591904570756537,0.00016287988315681165,0.0,0.00027036807773854227,0.0005492996429552321,0.004263410305706378,0.00017271685561416934,0.0,0.00027457318993202195,768,101,9,18,140,58,81,60,68,47,66,49,99,75,45,38,77,58,119,76,64,65,3178,253,41292,5582,1485,49
2016,18097320500,1400000US18097320500,0.006866245536940401,0.45895999770622126,0.002174331465207283,0.0,0.002783451599027744,0.0005721871280783667,0.038246666475518436,0.0001811942887672736,0.0,0.00023195429991897866,0.0008239494644328481,0.07572948199836417,0.00019194480021627266,0.0,0.00027018297356617483,656,105,19,22,20,22,70,52,127,82,152,74,59,38,41,33,41,39,69,38,58,48,3025,197,51277,4058,1495,39
2016,18097320600,1400000US18097320600,0.007690195001373249,0.15648686660771252,0.0022716093219719686,0.0,0.0034934225121241846,0.0005492996429552321,0.011177633329122322,0.00016225780871228346,0.0,0.00024953017943744177,0.0005492996429552321,0.013235329625057721,0.00018566112905987373,0.0,0.00027385953785016636,319,70,7,12,56,49,36,28,32,33,42,31,28,23,21,31,6,11,91,55,0,11,2301,226,51094,11152,1272,28
2016,18097320700,1400000US18097320700,0.005767646251029937,0.1330489751939903,0.001423710573703745,0.0,0.002678293435965322,0.0005767646251029937,0.01330489751939903,0.0001423710573703745,0.0,0.0002678293435965322,0.0008239494644328481,0.018267306711415472,0.00014852533110350076,0.0,0.00027443419240382014,455,84,7,11,49,46,82,51,149,74,26,29,17,19,0,11,76,57,49,38,0,11,1955,182,71786,10289,1139,25
2016,18097320800,1400000US18097320800,0.007140895358418017,0.17981203086943268,0.0017819694749903144,0.0,0.003358283402678086,0.0005492996429552321,0.013831694682264053,0.00013707457499925497,0.0,0.0002583294925136989,0.0005492996429552321,0.040211374727991044,0.00015204696711865803,0.0,0.0002740011722086921,117,49,2,5,32,26,13,17,30,36,6,6,0,11,3,5,0,11,31,34,0,11,3023,166,123958,13700,1277,58
2016,18097320901,1400000US18097320901,0.010985992859104642,0.10838179946941276,0.0026204304837759737,0.0,0.005488812498847272,0.0005492996429552321,0.005419089973470638,0.0001310215241887987,0.0,0.0002744406249423636,0.0005492996429552321,0.008654412053203595,0.00013930427928817018,0.0,0.0002746383377164112,789,139,0,16,24,29,145,104,52,49,91,99,92,73,47,41,120,91,218,112,0,16,6168,493,50168,9561,2690,56
2016,18097320902,1400000US18097320902,0.006591595715462785,0.04608193920882743,0.0015240609153728483,0.0,0.0032893813087076953,0.0005492996429552321,0.003840161600735619,0.0001270050762810707,0.0,0.0002741151090589746,0.0005492996429552321,0.004503351633260998,0.00012876725670951387,0.0,0.00027463811389195984,1144,141,9,14,78,61,103,77,70,51,156,96,163,86,137,86,222,105,206,107,0,11,4416,450,35332,5235,2020,63
2016,18097320903,1400000US18097320903,0.0021971985718209283,0.04441479970180876,0.0005409186637223914,0.0,0.0010984880322631617,0.0005492996429552321,0.01110369992545219,0.00013522966593059786,0.0,0.0002746220080657904,0.0005492996429552321,0.014750883557530084,0.0001427003306086744,0.0,0.00027463850706507565,1160,173,15,23,106,66,61,53,197,90,165,97,127,72,19,21,101,64,313,118,56,43,4889,493,34943,4052,1996,76
2016,18097321001,1400000US18097321001,0.007140895358418017,0.1844048700544169,0.0018839723287683069,0.0,0.0035703005918459835,0.0005492996429552321,0.014184990004185914,0.00014492094836679283,0.0,0.00027463850706507565,0.0005492996429552321,0.017082238003688154,0.00015318339075639636,0.0,0.00027463850706507565,251,77,0,11,30,25,23,23,7,12,11,19,41,42,22,35,0,11,28,29,89,45,2846,267,41471,10006,1186,38
2016,18097321002,1400000US18097321002,0.0038450975006866246,0.11311535896128042,0.0011111829178762115,0.0,0.0018477001187510954,0.0005492996429552321,0.016159336994468632,0.0001587404168394588,0.0,0.00026395715982158505,0.0005492996429552321,0.017752941922126213,0.0001677908564664291,0.0,0.0002746328687230988,511,127,0,11,13,21,83,64,83,54,112,87,78,68,27,34,13,20,86,56,16,25,4198,313,61563,15293,2102,48
2016,18097321100,1400000US18097321100,0.009887393573194177,0.22194557708152873,0.002644146844685668,0.0,0.004879190878233999,0.0005492996429552321,0.012330309837862707,0.00014689704692698156,0.0,0.0002710661599018888,0.0005492996429552321,0.01922329935925102,0.00016425917715817297,0.0,0.00027463850706507565,447,101,0,11,13,13,36,49,102,77,116,73,17,18,33,33,11,14,106,53,13,15,3698,247,57146,8040,1682,45
2016,18097321200,1400000US18097321200,0.016478989288656962,0.27462643097084183,0.0037694364750399043,0.0,0.0077316186513438495,0.0005682410099536884,0.009469876930029028,0.00012998056810482428,0.0,0.00026660753970151203,0.0008239494644328481,0.02044850919473276,0.00014857158676401683,0.0,0.0003605241084025479,401,126,0,16,71,53,72,72,83,77,28,34,15,26,16,25,0,16,43,40,73,49,5085,340,112311,12434,2314,45
2016,18097321300,1400000US18097321300,0.004943696786597089,0.046927166489100024,0.0012538185037344585,0.0,0.0025874783384829915,0.0005492996429552321,0.0052141296099000025,0.0001393131670816065,0.0,0.00028749759316477685,0.0005492996429552321,0.006647053852491919,0.0001536565300367805,0.0,0.00030389590966979385,541,102,16,20,107,56,112,66,65,49,32,27,42,46,39,36,8,14,88,60,32,35,2423,244,68810,11985,1373,77
2016,18097321400,1400000US18097321400,0.008514144465806096,0.35052696548164824,0.0023649698638603194,0.0,0.00463101265458434,0.000654934189677392,0.02696361272935756,0.0001819207587584861,0.0,0.0003562317426603339,0.0010985992859104642,0.08655672122439494,0.00019628575355787838,0.0,0.0005188860795166348,921,132,75,76,79,72,189,113,257,174,0,16,76,84,50,63,47,45,81,60,67,89,5612,392,65596,10321,2605,60
2016,18097321600,1400000US18097321600,0.005492996429552321,0.12530452930755046,0.0019891088028830294,0.0,0.0025078634519165146,0.0005492996429552321,0.012530452930755045,0.00019891088028830295,0.0,0.00025078634519165143,0.0005492996429552321,0.04297130362085045,0.0002038450857373162,0.0,0.0002723778527989313,1188,224,51,82,40,41,195,133,123,83,84,66,64,61,168,112,233,150,211,116,19,31,5558,502,49800,18761,2589,55
2016,18097321700,1400000US18097321700,0.008788794287283713,0.6517468935897939,0.002795554203685409,0.0,0.004295369648740839,0.0006277710205202652,0.046553349542128135,0.00019968244312038635,0.0,0.0003068121177672028,0.0010985992859104642,0.09255117993788689,0.00020517235432974365,0.0,0.0004750871385919295,757,143,16,25,138,88,84,53,104,64,126,115,69,54,0,11,48,33,110,61,62,59,3724,343,50460,5409,2159,82
2016,18097321800,1400000US18097321800,0.00906344410876133,0.25385890544500817,0.002243396358500539,0.0,0.00459541890733022,0.0005664652567975831,0.01586618159031301,0.0001402122724062837,0.0,0.00028721368170813875,0.0008239494644328481,0.029870054416882213,0.00019522326289934374,0.0,0.00037305373586856745,508,116,73,68,42,32,80,49,99,74,62,45,57,44,60,65,0,11,21,23,14,18,3586,242,98621,18038,1643,38
2016,18097321900,1400000US18097321900,0.01043669321614941,0.4575617735738582,0.002711074639158333,0.0,0.0050391693815165246,0.0005798162897860783,0.02542009853188101,0.0001506152577310185,0.0,0.0002799538545286958,0.0010985992859104642,0.047285720321974097,0.0001583336270119419,0.0,0.00047611059419418346,323,82,10,14,18,20,16,19,39,30,43,51,30,27,24,38,22,33,71,46,50,45,6175,513,102557,19659,1391,34
2016,18097322000,1400000US18097322000,0.009887393573194177,0.3719250537981656,0.002745740207473532,0.0,0.00475169320624702,0.0005492996429552321,0.02066250298878698,0.00015254112263741844,0.0,0.00026398295590261223,0.0005492996429552321,0.042891172271836926,0.00016930245183568096,0.0,0.0002746146400709096,755,124,13,19,40,36,102,64,97,54,97,46,0,11,62,52,50,45,179,71,115,67,3667,357,39732,10193,1830,67
2016,18097322100,1400000US18097322100,0.012084592145015106,0.4360016871346176,0.003392956855444135,0.0,0.005874576786186063,0.0005754567688102431,0.020761985101648457,0.00016156937406876834,0.0,0.0002797417517231458,0.0008239494644328481,0.06599095768280058,0.00021659134030209943,0.0,0.0003753597057389611,441,111,7,11,36,29,67,50,29,30,42,41,43,47,23,37,8,13,157,91,29,43,2950,423,42880,9238,1162,53
2016,18097322200,1400000US18097322200,0.007690195001373249,0.1293817209980352,0.0018369009543935768,0.0,0.0038125287991089564,0.0005915534616440961,0.009952440076771938,0.00014130007341489053,0.0,0.00029327144608530433,0.0008239494644328481,0.033229383909142214,0.0001974814991840157,0.0,0.0003668478527240076,238,58,3,4,6,8,41,30,46,28,22,27,9,11,0,11,12,13,90,43,9,9,2145,206,61321,4734,914,51
2016,18097322300,1400000US18097322300,0.010985992859104642,0.20829872544374056,0.0031370850862048813,0.0,0.005128999961445455,0.0005492996429552321,0.010414936272187028,0.00015685425431024406,0.0,0.00025644999807227273,0.0005492996429552321,0.02963599844264497,0.00019460901904707267,0.0,0.0002746384260811277,331,76,0,11,56,38,74,49,69,42,36,37,23,23,22,22,7,10,32,33,12,18,2499,167,74194,6645,1183,32
2016,18097322400,1400000US18097322400,0.011535292502059874,0.5011821260310686,0.00411354481118915,0.0,0.005323935690004741,0.0005492996429552321,0.02386581552528898,0.0001958830862471024,0.0,0.0002535207471430829,0.0005492996429552321,0.06940491532636547,0.00020689973168136247,0.0,0.00027408260728258894,725,132,52,49,70,51,99,59,76,61,99,72,82,59,35,29,68,54,109,56,35,36,3125,299,39444,5923,1692,51
2016,18097322500,1400000US18097322500,0.006042296072507553,0.113380728033296,0.00206131181442528,0.0,0.002999248002757986,0.0005492996429552321,0.010307338912117818,0.0001873919831295709,0.0,0.0002726589093416351,0.0005492996429552321,0.06956563074387848,0.00020739226415228813,0.0,0.00028345917523239344,539,78,0,11,32,25,79,47,58,29,68,37,20,15,11,12,8,8,221,61,42,31,1391,192,25644,6807,952,28
2016,18097322601,1400000US18097322601,0.014556440538313651,0.3659646244993677,0.0039064771508172174,0.0,0.006918150624714904,0.0005598630976274481,0.01407556248074491,0.00015024912118527758,0.0,0.0002660827163351886,0.0008239494644328481,0.07008776721767658,0.00020895389926377613,0.0,0.00037383396184932004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,18097322602,1400000US18097322602,0.0038450975006866246,0.23643614693463635,0.0012726657386390354,0.0,0.0018752616266255132,0.0005492996429552321,0.03377659241923377,0.00018180939123414792,0.0,0.00026789451808935903,0.0005492996429552321,0.06973479692512925,0.0002078971592217792,0.0,0.00027201958100656857,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,18097322700,1400000US18097322700,0.009338093930238945,0.16575795805403057,0.00235260042615186,0.0,0.004656684193439391,0.0005492996429552321,0.009750468120825327,0.00013838826036187413,0.0,0.0002739225996140818,0.0005492996429552321,0.014795023707410414,0.00015792894945270707,0.0,0.0002753788270717477,275,96,9,14,6,9,32,38,0,11,56,54,47,48,0,11,22,34,103,70,0,11,1994,262,40521,12111,1204,29
2016,18097330105,1400000US18097330105,0.011809942323537489,0.13332483226743044,0.002843330695644741,0.0,0.005699982526310262,0.000621575911765131,0.007017096435127918,0.00014964898398130215,0.0,0.00029999908033211906,0.0016478989288656962,0.023780071891854368,0.00015823475403041243,0.0,0.0006710978478862229,1650,195,0,16,191,112,491,187,249,120,209,109,178,108,45,45,53,52,189,95,45,40,5071,422,51809,4900,2623,91
2016,18097330106,1400000US18097330106,0.011260642680582258,0.11817457467004294,0.0024835061619887127,0.0,0.0048528321176030936,0.0006623907459166034,0.006951445568826055,0.00014608859776404193,0.0,0.00028546071280018196,0.0008239494644328481,0.018073542771427968,0.000152585134328362,0.0,0.000372110555447463,2098,186,103,74,120,71,190,119,264,127,189,99,150,96,281,157,142,108,578,183,81,96,3933,441,29394,3314,2721,114
2016,18097330211,1400000US18097330211,0.0021971985718209283,0.026827100392055075,0.0005808225049812889,0.0,0.001003439434620051,0.0005492996429552321,0.006706775098013769,0.00014520562624532223,0.0,0.00025085985865501274,0.0005492996429552321,0.007522688791570966,0.00014875122455685182,0.0,0.0002673342206238553,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,18097330401,1400000US18097330401,0.0027464982147761604,0.06657300403523969,0.000766570101871895,0.0,0.0009510090308207956,0.0005492996429552321,0.013314600807047938,0.00015331402037437899,0.0,0.00019020180616415911,0.0005492996429552321,0.019408461629005436,0.00015407247844254887,0.0,0.00021421427181755214,604,150,0,16,41,67,56,61,74,72,56,76,0,16,75,62,138,116,124,121,40,62,5890,399,82690,21294,2435,77
2016,18097330500,1400000US18097330500,0.005218346608074705,0.13039498266084368,0.0014011868032212794,0.0,0.002400163045395961,0.0005798162897860783,0.014488331406760408,0.00015568742258014216,0.0,0.00026668478282177344,0.0008239494644328481,0.026512988522051965,0.00015747442521405622,0.0,0.00033999980975495147,1059,198,0,16,13,21,134,116,148,160,140,99,26,31,78,91,52,66,386,200,82,95,6645,730,44583,10529,2900,83
2016,18097330600,1400000US18097330600,0.0008239494644328481,0.012338869589624877,0.0001533296990945889,0.0,0.00032905135210209283,0.0008239494644328481,0.012338869589624877,0.0001533296990945889,0.0,0.00032905135210209283,0.0008239494644328481,0.012338869589624877,0.0001533296990945889,0.0,0.00032905135210209283,820,173,0,16,126,103,32,39,112,67,63,56,47,49,0,16,90,78,283,132,67,83,5369,782,39368,4153,2297,132
2016,18097330803,1400000US18097330803,0.010162043394671794,0.3006613477157284,0.003363919001095285,0.0,0.004905154407538433,0.0005645579663706552,0.016703408206429356,0.00018688438894973804,0.0,0.0002725085781965796,0.0008239494644328481,0.033827350896837305,0.00023544148280955888,0.0,0.0003745728027203799,963,181,0,11,24,28,101,55,79,60,105,75,60,57,46,32,30,36,483,143,35,39,4050,654,25000,6118,2130,67
2016,18097330804,1400000US18097330804,0.004394397143641857,0.027975197008429636,0.0010616570539388197,0.0,0.0021862274454382325,0.0005492996429552321,0.0034968996260537045,0.00013270713174235246,0.0,0.00027327843067977907,0.0005492996429552321,0.005358840555215178,0.0001395899444862387,0.0,0.000274265469223153,1048,138,38,38,26,40,96,57,97,61,160,94,67,48,83,66,47,46,273,100,161,88,3392,472,24500,4971,1505,69
2016,18097330805,1400000US18097330805,0.007964844822850866,0.10633905369554916,0.002006098532542063,0.0,0.003800903100530324,0.0005689174873464905,0.007595646692539226,0.00014329275232443308,0.0,0.0002714930786093089,0.0008239494644328481,0.015481723714352113,0.00020044678172221955,0.0,0.00037381293852231494,1146,120,38,45,77,68,130,70,140,70,87,64,69,51,34,38,142,80,255,98,174,85,2843,390,22917,4312,1542,57
2016,18097330806,1400000US18097330806,0.006042296072507553,0.10908321285964791,0.0017574124305258943,0.0,0.0029329316249118256,0.0005492996429552321,0.009916655714513447,0.00015976476641144493,0.0,0.00026663014771925687,0.0005492996429552321,0.01752695944538845,0.0002202359395885311,0.0,0.0002725843687849655,991,144,9,15,90,58,53,47,106,62,70,54,142,79,23,33,64,56,325,137,109,91,3831,419,27158,4626,1934,56
2016,18097330900,1400000US18097330900,0.008788794287283713,0.16302594686280486,0.0021819697522883546,0.0,0.004383184403421471,0.0005859196191522476,0.010868396457520324,0.00014546465015255697,0.0,0.0002922122935614314,0.0008239494644328481,0.02486275054250885,0.00016559083180422282,0.0,0.0004041466504524642,1424,251,34,29,19,28,208,147,206,146,149,112,121,105,113,107,197,141,297,133,80,84,5147,610,31668,3678,2657,75
2016,18097331000,1400000US18097331000,0.017577588574567427,0.4810968487705648,0.004563281402710189,0.0,0.00857566829827835,0.0005670189862763686,0.015519253186147252,0.00014720262589387707,0.0,0.0002766344612347855,0.0008239494644328481,0.03631617627085905,0.00017280613274386872,0.0,0.0003834165703681558,584,120,46,50,53,42,56,44,46,38,40,42,38,31,26,29,53,40,178,86,48,54,4469,356,36466,3231,1945,65
