year,tract_geoid,census_full_code,degree_sum,betweenness_sum,closeness_sum,eigen_or_katz_sum,pagerank_sum,degree_mean,betweenness_mean,closeness_mean,eigen_or_katz_mean,pagerank_mean,B25070_001E,B25070_001M,B25070_002E,B25070_002M,B25070_003E,B25070_003M,B25070_004E,B25070_004M,B25070_005E,B25070_005M,B25070_006E,B25070_006M,B25070_007E,B25070_007M,B25070_008E,B25070_008M,B25070_009E,B25070_009M,B25070_010E,B25070_010M,B25070_011E,B25070_011M,B25001_001E,B25001_001M
2016,18097320305,1400000US18097320305,0.007140895358418017,0.07316153350208847,0.1934015376387664,7.583644572232471e-06,0.003397018894194832,0.0005492996429552321,0.005627810269391421,0.014877041356828186,5.833572747871131e-07,0.00026130914570729474,,,,,,,,,,,,,,,,,,,,,,,,
2016,18097320306,1400000US18097320306,0.007690195001373249,0.13665842807237003,0.21143224253716533,4.9217171367189405e-06,0.0036967856183598886,0.0005492996429552321,0.009761316290883573,0.015102303038368953,3.515512240513529e-07,0.0002640561155971349,,,,,,,,,,,,,,,,,,,,,,,,
2016,18097320400,1400000US18097320400,0.0032957978577313925,0.042733243731370545,0.09512113936645436,1.747178874737318e-07,0.0016375876866848071,0.0005492996429552321,0.007122207288561757,0.015853523227742392,2.9119647912288632e-08,0.00027293128111413454,768,101,9,18,140,58,81,60,68,47,66,49,99,75,45,38,77,58,119,76,64,65,1485,49
2016,18097320500,1400000US18097320500,0.006866245536940401,0.28585880497385396,0.20384254213102826,2.246598492861591e-06,0.003193772518218826,0.0005721871280783667,0.023821567081154498,0.016986878510919023,1.8721654107179925e-07,0.00026614770985156885,656,105,19,22,20,22,70,52,127,82,152,74,59,38,41,33,41,39,69,38,58,48,1495,39
2016,18097320600,1400000US18097320600,0.007690195001373249,0.10010419307919306,0.22865799997660308,1.3054462537187771e-06,0.003731961705732205,0.0005492996429552321,0.007150299505656647,0.016332714284043075,9.324616097991266e-08,0.0002665686932665861,319,70,7,12,56,49,36,28,32,33,42,31,28,23,21,31,6,11,91,55,0,11,1272,28
2016,18097320700,1400000US18097320700,0.005767646251029937,0.12230063181731496,0.15381535213127173,6.01545573581801e-07,0.002782465379486349,0.0005767646251029937,0.012230063181731496,0.015381535213127174,6.01545573581801e-08,0.0002782465379486349,455,84,7,11,49,46,82,51,149,74,26,29,17,19,0,11,76,57,49,38,0,11,1139,25
2016,18097320800,1400000US18097320800,0.007140895358418017,0.17422058463812204,0.1917129057193288,5.938982201116763e-07,0.0034824817319341335,0.0005492996429552321,0.013401583433701696,0.014747146593794523,4.568447847012894e-08,0.0002678832101487795,117,49,2,5,32,26,13,17,30,36,6,6,0,11,3,5,0,11,31,34,0,11,1277,58
2016,18097320901,1400000US18097320901,0.010985992859104642,0.10415809611094612,0.2755102625663361,4.4596951239842343e-07,0.005489793113055746,0.0005492996429552321,0.005207904805547306,0.013775513128316805,2.229847561992117e-08,0.0002744896556527873,789,139,0,16,24,29,145,104,52,49,91,99,92,73,47,41,120,91,218,112,0,16,2690,56
2016,18097320902,1400000US18097320902,0.006591595715462785,0.042197406761914816,0.15806186237798103,2.6804295308505283e-07,0.0032937487256386126,0.0005492996429552321,0.003516450563492901,0.013171821864831753,2.2336912757087735e-08,0.00027447906046988436,1144,141,9,14,78,61,103,77,70,51,156,96,163,86,137,86,222,105,206,107,0,11,2020,63
2016,18097320903,1400000US18097320903,0.0021971985718209283,0.03693679959024471,0.057514989032192675,8.778501565267069e-08,0.0010985498853050937,0.0005492996429552321,0.009234199897561177,0.014378747258048169,2.1946253913167673e-08,0.0002746374713262734,1160,173,15,23,106,66,61,53,197,90,165,97,127,72,19,21,101,64,313,118,56,43,1996,76
2016,18097321001,1400000US18097321001,0.007140895358418017,0.1644196913990723,0.19948852526591762,2.8523176167474677e-07,0.0035703005918459835,0.0005492996429552321,0.012647668569159408,0.015345271174301355,2.194090474421129e-08,0.00027463850706507565,251,77,0,11,30,25,23,23,7,12,11,19,41,42,22,35,0,11,28,29,89,45,1186,38
2016,18097321002,1400000US18097321002,0.0038450975006866246,0.12506017834867086,0.12518023693242483,1.5247993408571645e-06,0.0018626769641269785,0.0005492996429552321,0.017865739764095837,0.017882890990346404,2.1782847726530921e-07,0.0002660967091609969,511,127,0,11,13,21,83,64,83,54,112,87,78,68,27,34,13,20,86,56,16,25,2102,48
2016,18097321100,1400000US18097321100,0.009887393573194177,0.21597835839593285,0.2843997873482081,5.182143984145033e-07,0.004906082094098885,0.0005492996429552321,0.011998797688662936,0.01579998818601156,2.878968880080574e-08,0.00027256011633882695,447,101,0,11,13,13,36,49,102,77,116,73,17,18,33,33,11,14,106,53,13,15,1682,45
2016,18097321200,1400000US18097321200,0.016478989288656962,0.29700680782740707,0.447496383070897,1.6024208487629123e-06,0.00796825359460541,0.0005682410099536884,0.010241614063014036,0.015430909761065413,5.525589133665215e-08,0.00027476736533122104,401,126,0,16,71,53,72,72,83,77,28,34,15,26,16,25,0,16,43,40,73,49,2314,45
2016,18097321300,1400000US18097321300,0.004943696786597089,0.13820296128656284,0.14515638439585946,4.930904854147473e-07,0.002407884695351447,0.0005492996429552321,0.015355884587395872,0.016128487155095496,5.478783171274971e-08,0.0002675427439279385,541,102,16,20,107,56,112,66,65,49,32,27,42,46,39,36,8,14,88,60,32,35,1373,77
2016,18097321400,1400000US18097321400,0.008514144465806096,0.3263830169436487,0.22104699410818798,2.660451612772512e-06,0.003843350378117713,0.000654934189677392,0.025106385918742206,0.017003614931399076,2.04650124059424e-07,0.00029564233677828564,921,132,75,76,79,72,189,113,257,174,0,16,76,84,50,63,47,45,81,60,67,89,2605,60
2016,18097321600,1400000US18097321600,0.005492996429552321,0.054615514151785394,0.17265696851514442,8.668215874445207e-07,0.002658586297459452,0.0005492996429552321,0.005461551415178539,0.017265696851514443,8.668215874445207e-08,0.0002658586297459452,1188,224,51,82,40,41,195,133,123,83,84,66,64,61,168,112,233,150,211,116,19,31,2589,55
2016,18097321700,1400000US18097321700,0.008788794287283713,0.4977262426378487,0.24953293415336805,2.5689971170799374e-06,0.004052464770243139,0.0006277710205202652,0.03555187447413205,0.017823781010954862,1.8349979407713838e-07,0.00028946176930308133,757,143,16,25,138,88,84,53,104,64,126,115,69,54,0,11,48,33,110,61,62,59,2159,82
2016,18097321800,1400000US18097321800,0.00906344410876133,0.2748145167535394,0.26046051791850267,6.276423630030181e-07,0.004432444656880118,0.0005664652567975831,0.017175907297096213,0.016278782369906417,3.922764768768863e-08,0.00027702779105500736,508,116,73,68,42,32,80,49,99,74,62,45,57,44,60,65,0,11,21,23,14,18,1643,38
2016,18097321900,1400000US18097321900,0.01043669321614941,0.4645487806182489,0.29618782579348313,2.1180951972065303e-06,0.004933322358915073,0.0005798162897860783,0.025808265589902717,0.016454879210749063,1.176719554003628e-07,0.00027407346438417077,323,82,10,14,18,20,16,19,39,30,43,51,30,27,24,38,22,33,71,46,50,45,1391,34
2016,18097322000,1400000US18097322000,0.009887393573194177,0.41492998649723956,0.3245980278601011,1.506193523467817e-06,0.004858158958060847,0.0005492996429552321,0.02305166591651331,0.018033223770005616,8.367741797043427e-08,0.0002698977198922693,755,124,13,19,40,36,102,64,97,54,97,46,0,11,62,52,50,45,179,71,115,67,1830,67
2016,18097322100,1400000US18097322100,0.012084592145015106,0.5972771575516872,0.39494341853437853,1.6851233238991902e-06,0.005735770244078201,0.0005754567688102431,0.0284417694072232,0.018806829454018025,8.024396780472335e-08,0.00027313191638467623,441,111,7,11,36,29,67,50,29,30,42,41,43,47,23,37,8,13,157,91,29,43,1162,53
2016,18097322200,1400000US18097322200,0.007690195001373249,0.16831711017466863,0.22221839623805667,5.810957216525396e-07,0.003718617532069358,0.0005915534616440961,0.012947470013436048,0.01709372278754282,4.46996708963492e-08,0.0002860475024668737,238,58,3,4,6,8,41,30,46,28,22,27,9,11,0,11,12,13,90,43,9,9,914,51
2016,18097322300,1400000US18097322300,0.010985992859104642,0.2007669361358388,0.34465737235337424,7.770976314449773e-07,0.005384153155096747,0.0005492996429552321,0.010038346806791939,0.017232868617668713,3.8854881572248866e-08,0.00026920765775483734,331,76,0,11,56,38,74,49,69,42,36,37,23,23,22,22,7,10,32,33,12,18,1183,32
2016,18097322400,1400000US18097322400,0.011535292502059874,0.26773672547097926,0.36973877267387945,1.4915515907168097e-06,0.0056361081143422994,0.0005492996429552321,0.012749367879570442,0.017606608222565687,7.102626622460998e-08,0.00026838610068296664,725,132,52,49,70,51,99,59,76,61,99,72,82,59,35,29,68,54,109,56,35,36,1692,51
2016,18097322500,1400000US18097322500,0.006042296072507553,0.14501744828539548,0.19390155126969857,3.256964666980083e-07,0.003002964430153089,0.0005492996429552321,0.013183404389581406,0.01762741375179078,2.9608769699818935e-08,0.00027299676637755355,539,78,0,11,32,25,79,47,58,29,68,37,20,15,11,12,8,8,221,61,42,31,952,28
2016,18097322601,1400000US18097322601,0.014556440538313651,0.6503190250932807,0.44591267572407167,1.021079770580612e-06,0.0071118066173801705,0.0005598630976274481,0.02501227019589541,0.01715048752784891,3.927229886848508e-08,0.00027353102374539116,,,,,,,,,,,,,,,,,,,,,,,,
2016,18097322602,1400000US18097322602,0.0038450975006866246,0.13717889241659179,0.11983899149478536,2.0797682610915982e-07,0.0019111589260372036,0.0005492996429552321,0.019596984630941682,0.01711985592782648,2.9710975158451402e-08,0.0002730227037196005,,,,,,,,,,,,,,,,,,,,,,,,
2016,18097322700,1400000US18097322700,0.009338093930238945,0.2926734209459173,0.27036398494803365,3.820867463323771e-07,0.004664744093376977,0.0005492996429552321,0.01721608358505396,0.015903763820472566,2.2475690960728065e-08,0.0002743967113751163,275,96,9,14,6,9,32,38,0,11,56,54,47,48,0,11,22,34,103,70,0,11,1204,29
2016,18097330105,1400000US18097330105,0.011809942323537489,0.20949083484517927,0.268986788329275,1.0159678150006384e-05,0.005342157524666723,0.000621575911765131,0.011025833412904173,0.014157199385751315,5.34719902631915e-07,0.0002811661855087749,1650,195,0,16,191,112,491,187,249,120,209,109,178,108,45,45,53,52,189,95,45,40,2623,91
2016,18097330106,1400000US18097330106,0.011260642680582258,0.18216045338076653,0.23678168725294219,1.004902594389298e-05,0.00481120463811674,0.0006623907459166034,0.010715320787103914,0.013928334544290717,5.911191731701753e-07,0.00028301203753627885,2098,186,103,74,120,71,190,119,264,127,189,99,150,96,281,157,142,108,578,183,81,96,2721,114
2016,18097330211,1400000US18097330211,0.0021971985718209283,0.012134751785085943,0.049400689352846944,2.3391198570104643e-07,0.001062435714460443,0.0005492996429552321,0.003033687946271486,0.012350172338211736,5.847799642526161e-08,0.0002656089286151108,,,,,,,,,,,,,,,,,,,,,,,,
2016,18097330401,1400000US18097330401,0.0027464982147761604,0.07408153197957248,0.07149285734660249,1.0721224075886726e-06,0.0012724401175018768,0.0005492996429552321,0.014816306395914497,0.014298571469320499,2.1442448151773453e-07,0.00025448802350037535,604,150,0,16,41,67,56,61,74,72,56,76,0,16,75,62,138,116,124,121,40,62,2435,77
2016,18097330500,1400000US18097330500,0.005218346608074705,0.1429128773558426,0.1346105341297958,1.6122185132857514e-06,0.002402597971795392,0.0005798162897860783,0.015879208595093623,0.014956726014421754,1.791353903650835e-07,0.00026695533019948796,1059,198,0,16,13,21,134,116,148,160,140,99,26,31,78,91,52,66,386,200,82,95,2900,83
2016,18097330600,1400000US18097330600,0.0008239494644328481,0.012275961081123258,0.01445860791567927,5.820348357314048e-07,0.00034616233961942927,0.0008239494644328481,0.012275961081123258,0.01445860791567927,5.820348357314048e-07,0.00034616233961942927,820,173,0,16,126,103,32,39,112,67,63,56,47,49,0,16,90,78,283,132,67,83,2297,132
2016,18097330803,1400000US18097330803,0.010162043394671794,0.10827066506542837,0.22775828176740479,9.729987251407474e-07,0.004900559980241055,0.0005645579663706552,0.006015036948079354,0.012653237875966932,5.405548473004152e-08,0.00027225333223561415,963,181,0,11,24,28,101,55,79,60,105,75,60,57,46,32,30,36,483,143,35,39,2130,67
2016,18097330804,1400000US18097330804,0.004394397143641857,0.01887560605612184,0.09726766685137353,1.873828155874414e-07,0.002193505491431729,0.0005492996429552321,0.00235945075701523,0.012158458356421691,2.3422851948430176e-08,0.00027418818642896615,1048,138,38,38,26,40,96,57,97,61,160,94,67,48,83,66,47,46,273,100,161,88,1505,69
2016,18097330805,1400000US18097330805,0.007964844822850866,0.12335500801314866,0.1811205821142326,7.099584303167511e-07,0.0038304721075571677,0.0005689174873464905,0.008811072000939191,0.0129371844367309,5.071131645119651e-08,0.0002736051505397977,1146,120,38,45,77,68,130,70,140,70,87,64,69,51,34,38,142,80,255,98,174,85,1542,57
2016,18097330806,1400000US18097330806,0.006042296072507553,0.06444132154607078,0.13924634881438033,3.8661929988474916e-07,0.0029730899189959635,0.0005492996429552321,0.005858301958733708,0.012658758983125485,3.514720908043174e-08,0.0002702809017269058,991,144,9,15,90,58,53,47,106,62,70,54,142,79,23,33,64,56,325,137,109,91,1934,56
2016,18097330900,1400000US18097330900,0.008788794287283713,0.20940875917113266,0.22024277783408644,1.4883273092652059e-06,0.004143541257563644,0.0005859196191522476,0.013960583944742177,0.014682851855605762,9.922182061768039e-08,0.0002762360838375763,1424,251,34,29,19,28,208,147,206,146,149,112,121,105,113,107,197,141,297,133,80,84,2657,75
2016,18097331000,1400000US18097331000,0.017577588574567427,0.5543836531177073,0.4758959340087843,1.3887161578583326e-06,0.00854213732958219,0.0005670189862763686,0.0178833436489583,0.015351481742218849,4.479729541478492e-08,0.00027555281708329646,584,120,46,50,53,42,56,44,46,38,40,42,38,31,26,29,53,40,178,86,48,54,1945,65
2016,18097340101,1400000US18097340101,0.007140895358418017,0.016697457571270353,0.14709464196791683,8.241875930941936e-07,0.0033674453238819735,0.0005950746132015014,0.0013914547976058627,0.012257886830659736,6.868229942451614e-08,0.00028062044365683114,255,94,0,11,55,61,23,25,20,21,18,21,14,23,0,11,47,44,55,51,23,25,1585,55
2016,18097340102,1400000US18097340102,0.007140895358418017,0.06534623113451761,0.1699788186013894,5.162186488446657e-07,0.0035006505244526585,0.0005492996429552321,0.005026633164193662,0.013075293738568415,3.970912683420505e-08,0.0002692808095732814,1273,156,0,11,24,21,75,56,187,80,117,63,152,98,125,62,147,82,430,136,16,19,2309,44
2016,18097340108,1400000US18097340108,0.005492996429552321,0.06810382304102129,0.13890151771995454,8.549954121036369e-07,0.002687854323628606,0.0005492996429552321,0.006810382304102129,0.013890151771995454,8.549954121036368e-08,0.0002687854323628606,670,74,11,13,16,18,55,29,108,57,45,30,59,35,97,42,60,36,182,55,37,26,1376,45
2016,18097340115,1400000US18097340115,0.007140895358418017,0.12440952769924014,0.20582196947679451,6.615964835466928e-07,0.0034695369845377305,0.0005492996429552321,0.009569963669172319,0.015832459190522653,5.089203719589945e-08,0.0002668874603490562,,,,,,,,,,,,,,,,,,,,,,,,
2016,18097340201,1400000US18097340201,0.013732491073880802,0.28887892671637233,0.34308036523579616,1.7840334228458125e-06,0.006611706548544418,0.0005721871280783667,0.012036621946515514,0.014295015218158173,7.433472595190885e-08,0.00027548777285601745,345,84,0,11,7,11,24,28,83,65,46,38,11,17,0,11,48,50,80,41,46,35,1165,43
2016,18097340202,1400000US18097340202,0.021697335896731666,0.3596845100292253,0.49803969998973735,1.834163725581937e-05,0.009957199100867307,0.000602703774909213,0.009991236389700703,0.013834436110826038,5.094899237727604e-07,0.0002765888639129808,1199,133,0,11,129,84,138,67,104,72,169,81,192,84,65,39,116,83,252,90,34,43,2018,137
2016,18097340301,1400000US18097340301,0.007690195001373249,0.19925461642190817,0.21265870888804522,1.8590047514876401e-06,0.003754802066285601,0.0005492996429552321,0.014232472601564869,0.015189907777717516,1.3278605367768858e-07,0.00026820014759182864,,,,,,,,,,,,,,,,,,,,,,,,
2016,18097340302,1400000US18097340302,0.007140895358418017,0.07422977775417529,0.1846351911271094,5.039951628319807e-07,0.0035234080398147197,0.0005492996429552321,0.00570998290416733,0.014202707009777648,3.876885867938313e-08,0.0002710313876780554,,,,,,,,,,,,,,,,,,,,,,,,
2016,18097340400,1400000US18097340400,0.008788794287283713,0.2997774985629371,0.24723021087525152,3.516730674847397e-06,0.004221231250612976,0.0005859196191522476,0.019985166570862474,0.016482014058350102,2.3444871165649314e-07,0.00028141541670753174,662,97,10,16,58,41,121,69,60,50,4,10,29,45,29,36,95,65,203,85,53,42,1402,57
2016,18097340500,1400000US18097340500,0.007140895358418017,0.2080073263107406,0.22630816372064338,1.8246097572211057e-06,0.0034722263820749165,0.0005492996429552321,0.01600056356236466,0.017408320286203337,1.4035459670931582e-07,0.0002670943370826859,1210,148,43,54,34,55,170,101,185,85,102,76,160,117,67,75,89,64,360,121,0,11,2054,64
2016,18097340600,1400000US18097340600,0.019500137324910738,0.7808121785854445,0.6407052798260086,6.678643065340838e-06,0.009427428876221207,0.0005571467807117354,0.022308919388155556,0.018305865137885957,1.9081837329545252e-07,0.00026935511074917734,871,122,21,20,15,16,50,36,109,72,63,43,77,60,44,37,160,83,324,102,8,13,2147,57
2016,18097340700,1400000US18097340700,0.012359241966492723,0.32990228847881703,0.3470762492540517,8.459395982320198e-06,0.005871019395153612,0.0005885353317377487,0.015709632784705573,0.01652744044066913,4.028283801104856e-07,0.000279572352150172,760,143,24,40,32,41,111,88,89,73,66,60,8,12,38,62,89,69,235,130,68,66,1476,56
2016,18097340800,1400000US18097340800,0.0010985992859104642,0.024293347562932586,0.02996836525368498,6.090207751379417e-08,0.000546478044507775,0.0005492996429552321,0.012146673781466293,0.01498418262684249,3.0451038756897086e-08,0.0002732390222538875,152,56,0,11,10,12,31,34,17,14,5,9,20,25,8,12,11,13,45,42,5,8,787,60
2016,18097340901,1400000US18097340901,0.0021971985718209283,0.03313893240400236,0.05699362290354419,1.0304767925997908e-07,0.0010932441199686962,0.0005492996429552321,0.00828473310100059,0.014248405725886048,2.576191981499477e-08,0.00027331102999217404,187,105,0,11,0,11,22,24,51,60,60,66,18,23,0,11,0,11,19,21,17,20,1434,36
2016,18097340903,1400000US18097340903,0.0005492996429552321,0.009574741906115123,0.014738343889196424,3.6423642873416264e-08,0.0002707562841515112,0.0005492996429552321,0.009574741906115123,0.014738343889196424,3.6423642873416264e-08,0.0002707562841515112,,,,,,,,,,,,,,,,,,,,,,,,
2016,18097340904,1400000US18097340904,0.012908541609447953,0.17903202176946065,0.329397818650518,4.656324515165893e-06,0.0062107562515838,0.0005612409395412153,0.007784000946498289,0.014321644289152956,2.024488919637345e-07,0.0002700328805036435,,,,,,,,,,,,,,,,,,,,,,,,
2016,18097341000,1400000US18097341000,0.012359241966492723,0.3103317423269473,0.33697475984864256,1.009163266360474e-06,0.0060588889889017445,0.0005617837257496692,0.014105988287588515,0.015317034538574663,4.587105756183973e-08,0.0002754040449500793,186,59,14,19,16,16,36,27,24,17,21,14,5,8,32,42,15,13,13,12,10,12,830,63
